State,County,% Adults with Obesity,% Excessive Drinking,Chlamydia Rate,% Drive Alone to Work
Alabama,Autauga,33,14,504.5,86
Alabama,Baldwin,30,19,297.2,84
Alabama,Barbour,41,12,755.8,82
Alabama,Bibb,37,15,613.2,87
Alabama,Blount,33,16,303.4,88
Alabama,Bullock,47,12,1222.2,81
Alabama,Butler,47,13,933.2,86
Alabama,Calhoun,40,14,595.3,84
Alabama,Chambers,42,14,711.9,86
Alabama,Cherokee,38,16,386.7,82
Alabama,Chilton,42,15,342.7,84
Alabama,Choctaw,47,14,378.5,85
Alabama,Clarke,36,14,577.2,88
Alabama,Clay,37,16,643.4,87
Alabama,Cleburne,34,16,261.7,85
Alabama,Coffee,37,16,601.5,87
Alabama,Colbert,37,16,425.7,90
Alabama,Conecuh,42,13,657.6,89
Alabama,Coosa,45,14,613.7,82
Alabama,Covington,36,15,428.7,89
Alabama,Crenshaw,35,14,692.1,80
Alabama,Cullman,36,15,235.6,87
Alabama,Dale,42,16,686.6,86
Alabama,Dallas,42,12,747.2,91
Alabama,DeKalb,30,13,251.3,84
Alabama,Elmore,35,15,499.5,86
Alabama,Escambia,37,15,491.4,90
Alabama,Etowah,36,15,529.4,87
Alabama,Fayette,38,15,461.5,86
Alabama,Franklin,37,15,276.2,83
Alabama,Geneva,41,15,435.3,86
Alabama,Greene,38,10,1200.5,73
Alabama,Hale,45,12,1505.5,89
Alabama,Henry,35,15,571.5,87
Alabama,Houston,39,13,600.9,88
Alabama,Jackson,36,15,202.3,86
Alabama,Jefferson,35,17,776.9,83
Alabama,Lamar,34,15,258.1,90
Alabama,Lauderdale,32,16,444.1,88
Alabama,Lawrence,33,15,263.2,87
Alabama,Lee,31,17,500.0,83
Alabama,Limestone,33,16,424.8,89
Alabama,Lowndes,44,11,982.5,88
Alabama,Macon,51,11,1205.0,85
Alabama,Madison,34,15,658.6,88
Alabama,Marengo,45,13,485.2,88
Alabama,Marion,38,15,207.8,86
Alabama,Marshall,37,15,231.3,87
Alabama,Mobile,38,17,723.0,86
Alabama,Monroe,43,13,567.4,90
Alabama,Montgomery,37,13,1168.8,85
Alabama,Morgan,36,14,355.2,88
Alabama,Perry,47,11,685.3,85
Alabama,Pickens,39,13,594.8,82
Alabama,Pike,38,14,826.6,85
Alabama,Randolph,34,14,577.9,88
Alabama,Russell,39,14,606.5,87
Alabama,St. Clair,37,15,222.2,87
Alabama,Shelby,38,18,206.0,86
Alabama,Sumter,43,11,1111.4,84
Alabama,Talladega,39,13,529.6,83
Alabama,Tallapoosa,35,14,437.6,86
Alabama,Tuscaloosa,36,15,890.7,86
Alabama,Walker,39,14,262.3,85
Alabama,Washington,32,14,592.8,87
Alabama,Wilcox,50,11,849.0,89
Alabama,Winston,36,16,206.6,80
Alabama,,32,18,832.5,69
Alaska,Aleutians East,52,15,237.4,27
Alaska,Aleutians West,42,17,156.2,47
Alaska,Anchorage,30,18,905.7,76
