Date  ,Concert  ,Venue  ,Location  
"Nov 28, 2015 ",Andrew McMahon in the Wilderness / New Politics / LOLO / The Griswolds  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 28, 2015 ",Wilderness Politics Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 28, 2015 ",The Griswolds / LOLO / Andrew McMahon in the Wilderness / New Politics ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 17, 2015 ",Ire Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 17, 2015 ",Parkway Drive / Miss May I / Thy Art Is Murder / In Hearts Wake ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 13, 2015 ",James Bay  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 13, 2015 ",James Bay / Frances ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 10, 2015 ",Run Tour 2.0  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 10, 2015 ",AWOLNATION / Meg Myers / Irontom ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 04, 2015 ",Misterwives / Waters / CRUISR  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 30, 2015 ",moe. / Cabinet  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 28, 2015 ",Cypress Hill / Cold War Kids  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 23, 2015 ",Kaskade ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 17, 2015 ",Tove Lo  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 17, 2015 ",Tove Lo ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 02, 2015 ",Frank Turner / Skinny Lister / Beans on Toast  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 02, 2015 ",Positive Songs for Negative People Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 02, 2015 ",Frank Turner & The Sleeping Souls / Skinny Lister / Beans on Toast ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 02, 2015 ",Frank Turner & The Sleeping Souls ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 02, 2015 ",Frank Turner & The Sleeping Souls ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 31, 2016 ",Kurt Vile & The Violators ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 31, 2016 ",Kurt Vile & The Violators ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 28, 2016 ",Valencia  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 28, 2016 ",Valencia / Restorations  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 28, 2016 ",Valencia / Restorations / Can't Swim  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 28, 2016 ",Valencia  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 28, 2016 ",Valencia / Restorations ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 28, 2016 ",Valencia / Restorations  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 22, 2016 ",Lil Uzi Vert ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 16, 2016 ",Slander / NGHTMRE / Habstrakt / KRNE / Whethan ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 02, 2016 ",Flosstradamus / Towkio / Gent & Jawns ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
